# 본생성 50장 (prompts5.py --jobs, 나 50%) — 키 · Magnific 크리에이션 id. 시험 3장(40%)은 커밋 4b66c1d 기록. 다운로드 토큰은 올리지 않는다
mok__hwa-to-geum xSik97FjfW
mok__hwa-to-su WDvztXzcXe
mok__hwa-geum-su bxyF7SS5Y2
mok__to-geum-su s7ZxiNfl8e
mok__hwa-to VXEcaa8MMU
mok__hwa-geum bxyF7JJ5Y2
mok__hwa-su LwRr630swO
mok__to-geum P3TJWTu42C
mok__to-su LwRr6MmswO
mok__geum-su gOALRXASXO
hwa__mok-to-geum P3TJWag42C
hwa__mok-to-su KL4qOTbkqp
hwa__mok-geum-su rg6K4eJxtc
hwa__to-geum-su UPzl2hnwny
hwa__mok-to lJ2j3tvgv9
hwa__mok-geum w4ngAfU7EI
hwa__mok-su s7Zxibxl8e
hwa__to-geum TdCWvGIVNR
hwa__to-su jU31N56LD0
hwa__geum-su dtqDQVvXSL
to__mok-hwa-geum EbSasvVuuO
to__mok-hwa-su O6cwn7Nynm
to__mok-geum-su YMhGIzAWeC
to__hwa-geum-su YMhGInGWeC
to__mok-hwa MBu0CasDCm
to__mok-geum p8FVuE2ehw
to__mok-su yi07WWUPW9
to__hwa-geum ks9b63T16B  # 2026-09-19 재생성(결정 지역 2.3%→8.3%, "each clearly visible" 추가). 첫 생성 Cqgvsl8EEy
to__hwa-su u5Ufg7JQLD
to__geum-su YMhGtfhWeC
geum__mok-hwa-to nVmAIfuYQD
geum__mok-hwa-su KL4qy3tkqp
geum__mok-to-su s7Zx38vl8e
geum__hwa-to-su 0efYvwxTfW
geum__mok-hwa ks9bPXH16B
geum__mok-to 3zdNpxBREY
geum__mok-su KL4qyoLkqp
geum__hwa-to s7Zx3f6l8e
geum__hwa-su UPzlAFMwny
geum__to-su WDvzmPrcXe
su__mok-hwa-to 3zdNp6bREY
su__mok-hwa-geum xSikNrIjfW
su__mok-to-geum dtqDHBuXSL
su__hwa-to-geum jU31ilGLD0
su__mok-hwa VXEcCdcMMU
su__mok-to lJ2jZOrgv9
su__mok-geum KL4qPgWkqp
su__hwa-to CqgvlkMEEy
su__hwa-geum TdCWfq7VNR
su__to-geum 4RVOTB49Aa
# 장신구 구름(위에서 본 모습, 투명 배경, 2026-09-19) — fx/cloud_top_*.png
cloud_top_white vQLtZbSa47
cloud_top_dark Bh5e4ERoQR
cloud_top_typhoon xSikdy1jfW
